Unnamed: 0,word,meaning
2150,nominal,Full of unpleasant things such as problems or dangers.
2151,parity,In name or thought but not in fact or not as things really are.
2152,surge,"Equality, especially of pay or position."
2153,tabloid,A sudden and great increase.
2154,intelligence,"(of or relating to) a type of popular newspaper with small pages that has many pictures and short, simple reports."
2155,fatigues,"(Military) military information about enemies, spies, etc"
2156,tape,Clothing worn by military personnel for labor or for field duty.
2157,judging by sth,To record (sounds or pictures) on magnetic tape.
2158,pace,To disappear; vanish:
2159,momentum,to make a decision or judgment based on something
2160,bear with me,"a. The rate of speed at which a person, animal, or group walks or runs.; The rate of speed at which an activity or movement proceeds."
2161,allow sth for sth,"Impetus of a physical object in motion. b. Impetus of a nonphysical process, such as an idea or a course of events"
2162,arrive at,used as a polite way of asking someone to be patient while you do or finish something;
2163,additive,"to allocate a share or a suitable amount of something, such as time, money, space, etc., for some activity or goal.; to give consideration to circumstances or contingencies."
2164,alleyway,To reach through effort or a process
2165,appellation,A substance that is added to food in order to improve its taste or appearance or to keep it fresh and stop it from decaying.
2166,astringent,an alley
2167,bison,A name or title.
2168,board,A drug or cream that causes the skin or other tissue to tighten.
2169,cedar,a large wild animal like a cow with long hair and a big head. One type lives in North America and the other in Europe.
2170,chalet,"a long thin flat piece of wood, used especially for making floors and other parts of buildings"
2171,clang,a tall tree with red wood and thin sharp leaves that do not fall off in the winter
2172,clunky,"A small wooden house found in mountain areas, especially in Switzerland, or a house built in a similar style, especially one used by people on holiday."
2173,contemporary,"To make a loud deep ringing sound like that of metal being hit, or to cause something to make this sound."
2174,curator,"large, solid, and heavy in a way that is not attractive"
2175,debut,"modern, or relating to the present time"
2176,dim-witted,"A person in charge of a museum, library, etc."
2177,dispense,The occasion when someone performs or presents something to the public for the first time.
2178,drake,Stupid.
2179,emeritus,"To give out things, especially products, services, or amounts of money."
2180,engrossing,A male duck (= water bird.
2181,expectancy,"No longer having a position, especially in a college or university, but keeping the title of the position."
2182,fidget,Very interesting and needing all your attention.
2183,fireside,The feeling that something exciting or pleasant is going to happen.
2184,fragrant,"To make continuous, small movements that annoy other people."
2185,frolic,The part of a room that surrounds a fireplace.
2186,full-blown,With a pleasant smell.
2187,gentian,to play in a happy way with a lot of energy and movement
2188,grumpy,Completely developed.
2189,holster,a plant with small dark blue flowers that grows in the mountains of western Europe
2190,hunk,Easily annoyed and complaining.
2191,impulsive,"A small case usually made of leather and fixed on a belt or a strap, used for carrying a gun."
2192,indulgent,"A large thick piece, especially of food."
2193,literati,Showing behaviour in which you do things suddenly without any planning and without considering the effects they may have.
2194,lived-in,"Allowing someone to have or do what they want, especially when this is not good for them."
2195,lug,People with a good education who know a lot about literature.
2196,monocle,a __-__ place looks comfortable and not new or completely tidy
2197,mottled,To carry or pull something with effort or difficulty because it is heavy.
2198,oats,"A round piece of glass worn, especially in the past, in front of one eye in order to help you to see more clearly."
2199,pickle,Covered with areas of different colours that do not form a regular pattern.
2200,pictorial,"A plant that is a type of grass, or its grain used in baking and cooking or to feed animals."
2201,postulate,Vegetables or fruit that have been preserved in a vinegar sauce or salty water.
2202,preservative,Shown in the form of a picture or photograph.
2203,rarefied,"To suggest a theory, idea, etc. as a basic principle from which a further idea is formed or developed."
2204,rooster,A substance used to prevent decay in wood.
2205,rye,"intended for a small group of people who are very intelligent, rich, powerful etc. This word often shows that you think people like this believe they are better than ordinary people; (of air) with little oxygen."
2206,scenery,a male chicken. The usual British word is cock.
2207,scone,"A type of grain, the seeds of which are used to make flour or whisky or to feed animals."
2208,sleek,"The general appearance of the natural environment, especially when it is beautiful."
2209,snag,"A small, round cake like bread, made from flour, milk, and a little fat."
2210,speck,"(especially of hair, clothes, or shapes) smooth, shiny, and lying close to the body, and therefore looking well cared for; not untidy and with no parts sticking out."
2211,stocky,"A problem, difficulty, or disadvantage."
2212,sundae,"A very small mark, piece, or amount."
